user_id,score,label
user_0001,0.1914,0
user_0002,0.5411,1
user_0003,0.8655,1
user_0004,0.7276,1
user_0005,0.8004,0
user_0006,0.6556,0
user_0007,0.6884,0
user_0008,0.8422,1
user_0009,0.2547,1
user_0010,0.4896,1
user_0011,0.2268,0
user_0012,0.9779,1
user_0013,0.9352,1
user_0014,0.0486,0
user_0015,0.7015,0
user_0016,0.9167,0
user_0017,0.187,0
user_0018,0.5666,1
user_0019,0.9072,0
user_0020,0.0433,0
user_0021,0.6935,1
user_0022,0.3014,0
user_0023,0.9159,0
user_0024,0.9616,0
user_0025,0.9354,0
user_0026,0.4747,1
user_0027,0.8548,0
user_0028,0.8377,1
user_0029,0.3227,1
user_0030,0.8223,0
user_0031,0.0463,1
user_0032,0.5943,0
user_0033,0.2354,0
user_0034,0.1282,1
user_0035,0.0854,1
user_0036,0.6924,1
user_0037,0.3431,0
user_0038,0.7203,0
user_0039,0.074,1
user_0040,0.319,0
user_0041,0.5387,0
user_0042,0.7849,0
user_0043,0.3224,0
user_0044,0.6234,1
user_0045,0.8783,0
user_0046,0.6135,1
user_0047,0.2383,0
user_0048,0.0339,1
user_0049,0.8627,1
user_0050,0.0308,0
user_0051,0.8672,1
user_0052,0.5284,1
user_0053,0.9303,1
user_0054,0.7928,1
user_0055,0.988,1
user_0056,0.3537,1
user_0057,0.7618,0
user_0058,0.4039,0
user_0059,0.4803,0
user_0060,0.625,0
user_0061,0.8662,0
user_0062,0.9744,0
user_0063,0.7629,1
user_0064,0.4194,0
user_0065,0.4229,0
user_0066,0.7328,1
user_0067,0.244,0
user_0068,0.1183,1
user_0069,0.3575,0
user_0070,0.2915,1
user_0071,0.3004,1
user_0072,0.2389,0
user_0073,0.0513,0
user_0074,0.0275,1
user_0075,0.978,1
user_0076,0.4292,1
user_0077,0.3866,1
user_0078,0.6761,0
user_0079,0.2239,0
user_0080,0.941,0
user_0081,0.7806,1
user_0082,0.0976,1
user_0083,0.4192,0
user_0084,0.8715,0
user_0085,0.9358,0
user_0086,0.4681,0
user_0087,0.6111,1
user_0088,0.1737,1
user_0089,0.9813,1
user_0090,0.237,0
user_0091,0.9339,0
user_0092,0.6467,1
user_0093,0.6056,1
user_0094,0.5124,1
user_0095,0.2361,1
user_0096,0.183,0
user_0097,0.2261,1
user_0098,0.1927,0
user_0099,0.774,0
user_0100,0.3531,0
user_0101,0.0667,0
user_0102,0.9597,1
user_0103,0.8761,0
user_0104,0.9192,1
user_0105,0.985,1
user_0106,0.1804,0
user_0107,0.3983,0
user_0108,0.7531,1
user_0109,0.6921,0
user_0110,0.1608,0
user_0111,0.8095,0
user_0112,0.23,0
user_0113,0.2293,1
user_0114,0.5362,1
user_0115,0.5911,1
user_0116,0.5785,1
user_0117,0.0997,1
user_0118,0.8699,0
user_0119,0.2703,1
user_0120,0.1369,1
user_0121,0.881,1
user_0122,0.9465,1
user_0123,0.8549,0
user_0124,0.8033,0
user_0125,0.6521,0
user_0126,0.5498,0
user_0127,0.0952,1
user_0128,0.4103,1
user_0129,0.3752,0
user_0130,0.2646,1
user_0131,0.719,0
user_0132,0.496,0
user_0133,0.0894,0
user_0134,0.2258,0
user_0135,0.6796,1
user_0136,0.0846,0
user_0137,0.8442,1
user_0138,0.4952,1
user_0139,0.481,0
user_0140,0.5906,1
user_0141,0.8182,1
user_0142,0.3509,0
user_0143,0.6745,0
user_0144,0.5644,0
user_0145,0.2717,0
user_0146,0.8711,0
user_0147,0.7915,1
user_0148,0.6553,1
user_0149,0.8436,0
user_0150,0.8599,0
user_0151,0.7042,1
user_0152,0.8303,0
user_0153,0.6935,0
user_0154,0.6765,0
user_0155,0.6162,1
user_0156,0.7477,0
user_0157,0.1654,1
user_0158,0.8733,1
user_0159,0.8644,0
user_0160,0.0387,1
user_0161,0.8193,0
user_0162,0.1363,1
user_0163,0.3384,1
user_0164,0.7386,1
user_0165,0.1675,0
user_0166,0.8116,1
user_0167,0.8255,0
user_0168,0.5073,0
user_0169,0.0163,0
user_0170,0.2913,1
user_0171,0.6146,1
user_0172,0.9716,0
user_0173,0.6292,1
user_0174,0.2646,0
user_0175,0.6313,1
user_0176,0.5392,0
user_0177,0.7742,1
user_0178,0.1148,0
user_0179,0.7558,1
user_0180,0.5404,0
user_0181,0.9537,0
user_0182,0.345,0
user_0183,0.63,1
user_0184,0.9234,1
user_0185,0.1105,0
user_0186,0.9285,1
user_0187,0.6841,1
user_0188,0.0765,1
user_0189,0.3049,1
user_0190,0.704,0
user_0191,0.076,0
user_0192,0.5805,1
user_0193,0.349,1
user_0194,0.6185,1
user_0195,0.0548,0
user_0196,0.8641,0
user_0197,0.964,1
user_0198,0.9595,1
user_0199,0.7447,1
user_0200,0.1375,1
user_0201,0.7531,1
user_0202,0.0341,0
user_0203,0.0317,0
user_0204,0.3271,1
user_0205,0.4889,1
user_0206,0.765,0
user_0207,0.6796,0
user_0208,0.447,1
user_0209,0.2782,0
user_0210,0.9872,0
user_0211,0.4277,1
user_0212,0.4524,1
user_0213,0.1704,1
user_0214,0.7889,0
user_0215,0.6898,1
user_0216,0.2264,0
user_0217,0.0907,0
user_0218,0.6769,1
user_0219,0.6514,1
user_0220,0.2778,1
user_0221,0.9418,1
user_0222,0.158,1
user_0223,0.4337,0
user_0224,0.9347,0
user_0225,0.4213,0
user_0226,0.6358,0
user_0227,0.3996,1
user_0228,0.2787,0
user_0229,0.9743,1
user_0230,0.4111,1
user_0231,0.8862,1
user_0232,0.2354,1
user_0233,0.2188,1
user_0234,0.0405,0
user_0235,0.6486,0
user_0236,0.3712,1
user_0237,0.8571,0
user_0238,0.4737,0
user_0239,0.9588,1
user_0240,0.1918,0
user_0241,0.8613,1
user_0242,0.7711,1
user_0243,0.7655,1
user_0244,0.8379,0
user_0245,0.7558,0
user_0246,0.6237,1
user_0247,0.1386,0
user_0248,0.0419,1
user_0249,0.9124,1
user_0250,0.6143,1
user_0251,0.7906,0
user_0252,0.4819,0
user_0253,0.125,1
user_0254,0.1327,0
user_0255,0.6819,0
user_0256,0.4317,1
user_0257,0.2065,1
user_0258,0.4918,1
user_0259,0.0729,1
user_0260,0.5803,0
user_0261,0.2736,1
user_0262,0.7916,1
user_0263,0.3142,0
user_0264,0.4561,1
user_0265,0.0214,1
user_0266,0.081,1
user_0267,0.3946,1
user_0268,0.4803,1
user_0269,0.598,0
user_0270,0.2958,0
user_0271,0.6911,1
user_0272,0.8529,1
user_0273,0.7743,1
user_0274,0.0488,1
user_0275,0.4809,1
user_0276,0.1128,1
user_0277,0.2472,1
user_0278,0.9769,1
user_0279,0.1496,1
user_0280,0.4989,1
user_0281,0.6158,1
user_0282,0.6984,0
user_0283,0.5585,0
user_0284,0.0196,0
user_0285,0.3299,1
user_0286,0.5174,0
user_0287,0.0961,0
user_0288,0.3536,1
user_0289,0.0425,0
user_0290,0.087,1
user_0291,0.399,0
user_0292,0.1401,0
user_0293,0.5662,1
user_0294,0.6857,0
user_0295,0.7946,0
user_0296,0.2061,1
user_0297,0.1741,1
user_0298,0.1125,0
user_0299,0.6337,1
user_0300,0.7023,0
user_0301,0.041,0
user_0302,0.9275,1
user_0303,0.0609,1
user_0304,0.5405,1
user_0305,0.7049,1
user_0306,0.8635,1
user_0307,0.7098,1
user_0308,0.7957,0
user_0309,0.3427,1
user_0310,0.8085,0
user_0311,0.0885,0
user_0312,0.8869,0
user_0313,0.5466,0
user_0314,0.811,1
user_0315,0.4533,1
user_0316,0.6407,1
user_0317,0.5259,0
user_0318,0.727,0
user_0319,0.09,0
user_0320,0.0691,0
user_0321,0.2522,1
user_0322,0.1664,1
user_0323,0.8643,1
user_0324,0.2248,0
user_0325,0.9663,1
user_0326,0.3402,1
user_0327,0.1885,1
user_0328,0.7839,1
user_0329,0.6555,0
